2017-08-29 09:20 Tue // ['3448227', '2625418', '0'] // ['ZFU7', '118.292', '118.210', '118.220', '118.317', '118.217', '557854', '942023', '0'] // [['ZFU7', '118.292', '118.210', '118.220', '118.317', '118.217', '557854', '942023', '0'], ['ZFZ7', '118.207', '118.122', '118.130', '118.232', '118.130', '424823', '2506204', '0'], ['ZFH8', '', '118.045', '', '', '', '0', '', '']]
2017-08-30 09:20 Wed2017-08-31 09:20 Thu2017-09-01 09:20 Fri // ['3236138', '985634', '17000'] // ['ZFZ7', '118.145', '118.160', '118.165', '118.215', '118.137', '289746', '3089325', '17000'] // [['ZFU7', '118.235', '118.250', '118.250', '118.307', '118.227', '48618', '146813', '0'], ['ZFZ7', '118.145', '118.160', '118.165', '118.215', '118.137', '289746', '3089325', '17000'], ['ZFH8', '', '118.082', '', '', '', '0', '', '']]
2017-09-04 09:20 Mon // ['3184065', '852910', '0'] // ['ZFZ7', '118.157', '118.117', '118.167', '118.172', '118.145', '56600', '3085889', '0'] // [['ZFU7', '118.247', '118.210', '118.245', '118.262', '118.237', '6365', '98176', '0'], ['ZFZ7', '118.157', '118.117', '118.167', '118.172', '118.145', '56600', '3085889', '0'], ['ZFH8', '', '118.040', '', '', '', '0', '', ''], ['ZFM8', '', '', '', '', '', '0', '', '']]
2017-09-05 09:20 Tue // ['3184065', '852910', '0'] // ['ZFZ7', '118.197', '118.117', '118.167', '118.202', '118.135', '302545', '3085889', '0'] // [['ZFU7', '118.280', '118.210', '118.245', '118.282', '118.230', '29069', '98176', '0'], ['ZFZ7', '118.197', '118.117', '118.167', '118.202', '118.135', '302545', '3085889', '0'], ['ZFH8', '', '118.040', '', '', '', '0', '', ''], ['ZFM8', '', '', '', '', '', '0', '', '']]
2017-09-06 09:20 Wed // ['3224537', '972208', '5000'] // ['ZFZ7', '118.252', '118.262', '118.267', '118.285', '118.245', '159302', '3149667', '5000'] // [['ZFU7', '119.015', '119.025', '119.042', '119.042', '119.007', '6952', '74870', '0'], ['ZFZ7', '118.252', '118.262', '118.267', '118.285', '118.245', '159302', '3149667', '5000'], ['ZFH8', '', '118.185', '', '', '', '0', '', ''], ['ZFM8', '', '', '', '', '', '0', '', '']]
2017-09-07 09:20 Thu // ['3209331', '788730', '5000'] // ['ZFZ7', '118.237', '118.197', '118.200', '118.252', '118.200', '204113', '3147436', '5000'] // [['ZFU7', '119.000', '118.282', '118.297', '119.015', '118.297', '4908', '61895', '0'], ['ZFZ7', '118.237', '118.197', '118.200', '118.252', '118.200', '204113', '3147436', '5000'], ['ZFH8', '', '118.120', '', '', '', '0', '', ''], ['ZFM8', '', '', '', '', '', '0', '', '']]
2017-09-08 09:20 Fri // ['3177561', '827197', '6458'] // ['ZFZ7', '118.272', '118.270', '118.290', '119.015', '118.270', '266533', '3128909', '6458'] // [['ZFU7', '119.037', '119.032', '119.050', '119.087', '119.037', '6538', '48652', '0'], ['ZFZ7', '118.272', '118.270', '118.290', '119.015', '118.270', '266533', '3128909', '6458'], ['ZFH8', '', '118.192', '', '', '', '0', '', ''], ['ZFM8', '', '', '', '', '', '0', '', '']]
2017-09-11 09:20 Mon // ['3179199', '655132', '0'] // ['ZFZ7', '118.192', '118.267', '118.195', '118.240', '118.190', '201411', '3130622', '0'] // [['ZFU7', '118.280', '119.030', '118.285', '119.000', '118.280', '1749', '48577', '0'], ['ZFZ7', '118.192', '118.267', '118.195', '118.240', '118.190', '201411', '3130622', '0'], ['ZFH8', '', '118.190', '', '', '', '0', '', ''], ['ZFM8', '', '', '', '', '', '0', '', '']]
2017-09-12 09:20 Tue // ['3180670', '518021', '5000'] // ['ZFZ7', '118.115', '118.175', '118.162', '118.172', '118.112', '223067', '3136167', '5000'] // [['ZFU7', '118.207', '118.265', '118.260', '118.260', '118.205', '9291', '44503', '0'], ['ZFZ7', '118.115', '118.175', '118.162', '118.172', '118.112', '223067', '3136167', '5000'], ['ZFH8', '', '118.097', '', '', '', '0', '', ''], ['ZFM8', '', '', '', '', '', '0', '', '']]
2017-09-13 09:20 Wed // ['3157771', '694159', '0'] // ['ZFZ7', '118.100', '118.110', '118.112', '118.132', '118.100', '151819', '3116080', '0'] // [['ZFU7', '118.200', '118.210', '118.212', '118.227', '118.197', '3180', '41691', '0'], ['ZFZ7', '118.100', '118.110', '118.112', '118.132', '118.100', '151819', '3116080', '0'], ['ZFH8', '', '118.032', '', '', '', '0', '', ''], ['ZFM8', '', '', '', '', '', '0', '', '']]
2017-09-14 09:20 Thu // ['3154758', '522083', '5800'] // ['ZFZ7', '118.020', '118.067', '118.077', '118.087', '118.005', '387338', '3117985', '5800'] // [['ZFU7', '118.137', '118.170', '118.182', '118.182', '118.115', '4228', '36773', '0'], ['ZFZ7', '118.020', '118.067', '118.077', '118.087', '118.005', '387338', '3117985', '5800'], ['ZFH8', '', '117.310', '', '', '', '0', '', ''], ['ZFM8', '', '', '', '', '', '0', '', '']]
2017-09-15 09:20 Fri // ['3109251', '936260', '0'] // ['ZFZ7', '118.047', '118.042', '118.060', '118.072', '118.007', '292355', '3077536', '0'] // [['ZFU7', '118.162', '118.152', '118.162', '118.167', '118.130', '1561', '31715', '0'], ['ZFZ7', '118.047', '118.042', '118.060', '118.072', '118.007', '292355', '3077536', '0'], ['ZFH8', '', '117.285', '', '', '', '0', '', ''], ['ZFM8', '', '', '', '', '', '0', '', '']]
2017-09-19 09:20 Tue // ['3016018', '449812', '8500'] // ['ZFZ7', '117.317', '117.302', '117.300', '118.010', '117.297', '169308', '2989382', '8500'] // [['ZFU7', '118.117', '118.095', '118.110', '118.120', '118.107', '3379', '26636', '0'], ['ZFZ7', '117.317', '117.302', '117.300', '118.010', '117.297', '169308', '2989382', '8500'], ['ZFH8', '', '117.225', '', '', '', '0', '', ''], ['ZFM8', '', '0', '', '', '', '0', '', '']]
2017-09-20 09:20 Wed // ['2980827', '531910', '0'] // ['ZFZ7', '117.310', '117.287', '117.285', '118.007', '117.285', '144125', '2956822', '0'] // [['ZFU7', '118.112', '118.080', '118.092', '118.112', '118.092', '531', '24005', '0'], ['ZFZ7', '117.310', '117.287', '117.285', '118.007', '117.285', '144125', '2956822', '0'], ['ZFH8', '', '117.210', '', '', '', '0', '', ''], ['ZFM8', '', '0', '', '', '', '0', '', '']]
2017-09-21 09:20 Thu // ['3001723', '896258', '0'] // ['ZFZ7', '117.227', '117.207', '117.215', '117.235', '117.197', '305185', '2980249', '0'] // [['ZFU7', '118.030', '118.010', '118.017', '118.030', '118.015', '244', '21474', '0'], ['ZFZ7', '117.227', '117.207', '117.215', '117.235', '117.197', '305185', '2980249', '0'], ['ZFH8', '', '117.130', '', '', '', '0', '', ''], ['ZFM8', '', '0', '', '', '', '0', '', '']]
2017-09-22 09:20 Fri // ['2988705', '768916', '0'] // ['ZFZ7', '117.240', '117.197', '117.192', '117.247', '117.192', '209238', '2969120', '0'] // [['ZFU7', '118.035', '117.317', '118.035', '118.035', '118.035', '440', '19585', '0'], ['ZFZ7', '117.240', '117.197', '117.192', '117.247', '117.192', '209238', '2969120', '0'], ['ZFH8', '', '117.120', '', '', '', '0', '', ''], ['ZFM8', '', '0', '', '', '', '0', '', '']]
2017-09-25 09:27 Mon // ['2947623', '633855', '0'] // ['ZFZ7', '117.235', '117.222', '117.227', '117.265', '117.212', '184804', '2929662', '0'] // [['ZFU7', '118.032', '118.022', '118.057', '118.057', '118.030', '805', '17961', '0'], ['ZFZ7', '117.235', '117.222', '117.227', '117.265', '117.212', '184804', '2929662', '0'], ['ZFH8', '', '117.145', '', '', '', '0', '', ''], ['ZFM8', '', '0', '', '', '', '0', '', '']]
2017-09-27 09:27 Wed // ['2976628', '660658', '0'] // ['ZFZ7', '117.167', '117.262', '117.250', '117.255', '117.150', '433220', '2962972', '0'] // [['ZFU7', '117.290', '118.062', '118.002', '118.010', '117.287', '1725', '13656', '0'], ['ZFZ7', '117.167', '117.262', '117.250', '117.255', '117.150', '433220', '2962972', '0'], ['ZFH8', '', '117.185', '', '', '', '0', '', ''], ['ZFM8', '', '0', '', '', '', '0', '', '']]
2017-09-28 09:27 Thu // ['2998601', '1055181', '12984'] // ['ZFZ7', '117.170', '117.180', '117.177', '117.197', '117.125', '237281', '2985966', '12984'] // [['ZFU7', '117.285', '117.307', '117.295', '117.295', '117.255', '999', '12635', '0'], ['ZFZ7', '117.170', '117.180', '117.177', '117.197', '117.125', '237281', '2985966', '12984'], ['ZFH8', '', '117.102', '', '', '', '0', '', ''], ['ZFM8', '', '0', '', '', '', '0', '', '']]
2017-09-29 09:27 Fri // ['3008425', '850889', '18620'] // ['ZFZ7', '117.215', '117.212', '117.210', '117.225', '117.190', '234177', '2997102', '18620'] // [['ZFU7', '', '118.020', '', '', '', '310', '11323', '0'], ['ZFZ7', '117.215', '117.212', '117.210', '117.225', '117.190', '234177', '2997102', '18620'], ['ZFH8', '', '117.135', '', '', '', '0', '', ''], ['ZFM8', '', '0', '', '', '', '0', '', '']]
2017-10-02 09:27 Mon // ['2969097', '1091690', '9500'] // ['ZFZ7', '117.162', '117.160', '117.142', '117.165', '117.090', '281200', '2958435', '9500'] // [['ZFZ7', '117.162', '117.160', '117.142', '117.165', '117.090', '281200', '2958435', '9500'], ['ZFH8', '', '117.082', '', '', '', '0', '5', '0'], ['ZFM8', '', '117.082', '', '', '', '0', '', '']]
2017-10-03 09:27 Tue // ['2960346', '695659', '0'] // ['ZFZ7', '117.137', '117.145', '117.137', '117.150', '117.117', '204364', '2949684', '0'] // [['ZFZ7', '117.137', '117.145', '117.137', '117.150', '117.117', '204364', '2949684', '0'], ['ZFH8', '', '117.067', '', '', '', '0', '5', '0'], ['ZFM8', '', '117.067', '', '', '', '0', '', '']]
2017-10-04 09:27 Wed // ['2961697', '562556', '0'] // ['ZFZ7', '117.175', '117.162', '117.170', '117.212', '117.162', '208114', '2961692', '0'] // [['ZFZ7', '117.175', '117.162', '117.170', '117.212', '117.162', '208114', '2961692', '0'], ['ZFH8', '117.100', '117.085', '117.100', '117.100', '117.100', '4', '5', '0'], ['ZFM8', '', '117.085', '', '', '', '0', '', '']]
2017-10-05 09:27 Thu // ['2946990', '579943', '0'] // ['ZFZ7', '117.155', '117.162', '117.170', '117.180', '117.152', '141151', '2946981', '0'] // [['ZFZ7', '117.155', '117.162', '117.170', '117.180', '117.152', '141151', '2946981', '0'], ['ZFH8', '', '117.090', '', '', '', '11', '9', '0'], ['ZFM8', '', '117.090', '', '', '', '0', '', '']]
2017-10-06 09:27 Fri // ['2952736', '562962', '0'] // ['ZFZ7', '117.067', '117.125', '117.127', '117.137', '117.037', '438534', '2952516', '0'] // [['ZFZ7', '117.067', '117.125', '117.127', '117.137', '117.037', '438534', '2952516', '0'], ['ZFH8', '', '117.052', '', '', '', '1', '220', '0'], ['ZFM8', '', '117.052', '', '', '', '0', '', '']]
